Wall time,Step,Value
1684249177.0348935,2079,0.33792442083358765
1684250335.51006,2079,0.4136847257614136
1684250983.2451446,3119,0.06535875797271729
1684251604.037988,4159,0.04674411192536354
1684252281.7267067,5199,0.043057046830654144
1684252960.5619884,6239,0.04099924489855766
1684253636.3388956,7279,0.03944288566708565
1684254311.8027349,8319,0.03792477399110794
1684254989.8582397,9359,0.03748322278261185
1684255613.0479326,10399,0.03494035080075264
1684256236.0027175,11439,0.03446027263998985
1684256859.2505827,12479,0.032802920788526535
1684257482.5469475,13519,0.03282635658979416
1684258106.0474474,14559,0.030359189957380295
1684258730.2125707,15599,0.029093002900481224
1684259357.2935224,16639,0.028699669986963272
1684259983.6848392,17679,0.02882206253707409
1684260661.502489,18719,0.02897942252457142
1684261283.583979,19759,0.026707738637924194
1684261906.2586446,20799,0.025483116507530212
1684262529.1623957,21839,0.024209335446357727
1684263151.6830137,22879,0.02435982972383499
1684263831.8292806,23919,0.0230337455868721
1684264455.5948865,24959,0.025343485176563263
1684265137.152387,25999,0.024557063356041908
1684265816.8945413,27039,0.022150611504912376
1684266440.8380282,28079,0.020131777971982956
1684267065.1398826,29119,0.019233079627156258
1684267692.3339064,30159,0.0187192615121603
1684268372.5928078,31199,0.018214654177427292
1684268996.0811405,32239,0.018305759876966476
1684269610.905963,33279,0.017154544591903687
1684270286.8758101,34319,0.01600559987127781
1684270909.4449844,35359,0.015252009965479374
1684271529.3294938,36399,0.01484073419123888
1684272155.1421192,37439,0.014534562826156616
1684272834.956124,38479,0.014419999904930592
1684273459.7721245,39519,0.014027219265699387
1684274081.486738,40559,0.012708568945527077
1684274702.8906465,41599,0.01374856662005186
1684275325.4009755,42639,0.013345753774046898
1684276109.4525435,43679,0.01174995582550764
1684276738.594119,44719,0.011545607820153236
1684277361.396215,45759,0.011482414789497852
1684278042.222766,46799,0.01125066727399826
1684278664.7860081,47839,0.010970043949782848
1684279347.1140547,48879,0.010535335168242455
1684279970.170406,49919,0.01041422039270401
1684280594.4035761,50959,0.011570803821086884
1684281218.324911,51999,0.011157226748764515
1684281843.466721,53039,0.009762510657310486
